aal ale
faehren ferries
faehrleute watermen
faehrmann waterman
faehrt navigates
faehrte track
faelle cases
faellig due
faellt drops
faelschen falsify
faelschend falsifying
faelscht falsifies
faelschung falsification
faelschungen falsifications
faengt captivates
faerben tinge
faerbend tinging
faerbt tinges
faerbung coloring
faerbungen colorings
faesschen keg
faesser barrels
faeuste fists
faeustling mitten
faeustlinge mittens
fahl livid
fahne ensign
fahnen ensigns
fahnenstange flagstaff
fahnenstangen flagstaffs
fahrad bicycle
fahren navigate
fahrgast passenger
fahrgeld carfare
fahrgestell undercarriage
fahrkarte ticket
fahrlaessigkeit negligence
fahrplan time-table
fahrrad bicycle
fahrraeder bicycles
fahrschein ticket
fahrscheine tickets
fahrspur lane
fahrwerk undercarriage
fahrwerke undercarriages
fahrzeug vehicle
fahrzeug- automotive
fahrzeuge vehicles
fairness fairness
faktor factor
faktoren factors
falke falcon
falken falcons
fall- downstream
falle pitfall
fallen drop
fallend falling
fallobst windfall
fallschirm parachute
fallschirme parachutes
fallschirmspringer parachutist
falltuer trapdoor
falltueren trapdoors
falsch cattish
falschheit falsehood
falte fold
falter folder
faltet folds
falzend grooving
falzt grooves
familiaer familiar
familie family
familien families
fan bigot
fangen catch
fangend captivating
fans bigots
fantastisch fancifully
farad farads
farbe color
farben colors
farbig coloured
farbige colored
farblos colorless
farm farm
farmen ranches
farmer rancher
farn fern
fasan pheasant
fasane pheasants
faser fiber
faserig fibrous
fasern fibers
fass barrel
fassen grip
fast almost
faszinierend fascinating
faul lazily
faulenzen lounge
faulenzend lounging
faulenzer bum
faulenzt lounges
fauler lazier
faulheit sloth
faulste laziest
faust fist
faustschlaege fisticuffs
favorit favorite
febrizierte fabricated
februar february
feder feather
federbelastet spring-loaded
federhalter penholder
federn feathers
federnd resilient
fehlanpassung maladjustment
fehlanpassungen maladjustments
fehlbar fallible
fehlbetraege deficits
fehlbetrag deficit
fehlend missing
fehler blemish
fehlerfrei faultless
fehlerhaft erroneous
fehlerhafte failing
fehlerlos flawless
fehlerstelle flaw
fehlfunktion malfunction
fehlgehen astray
fehlgeleitet missent
fehlprogrammiert misprogramed
fehlschuss miss
fehlzuenden misfire
feier celebration
feierlich solemn
feierlichkeit ceremony
feierlichkeiten ceremonies
feiern celebrate
feiernd celebrating
feiert celebrates
feiertag holiday
feiertage feasts
feig craven
feigling coward
feilbieten prostitute
feilbietend prostituting
feilgeboten prostituted
feilschen haggle
feilschend haggling
feilscht haggles
feind enemy
feinde enemies
feindlich adverse
feindschaft enmities
feindselig hostile
feindseligkeit animosity
feinheit nicety
feinheiten niceties
feld array
felder arrays
feldzug campaign
felge rim
felgen rims
fell pelt
felle pelts
fels rock
felsen rock
felsig rockily
fenchel fennel
fenster window
fensterfluegel casement
fenstersims ledge
ferien vacation
fern afar
fern- remote
fernbleibend absenting
ferngeblieben absented
fernglas binocular
fernlehrgaenge telecourses
fernlehrgang telecourse
fernrohr telescope
fernrohre telescopes
fernschreiber teleprinter
fernsehen tv
fernseher televisor
fernsehsendung telecast
fertig readily
fertigen manufacture
fesseln enchain
fesselnd enchaining
fesselt enchains
fesselung ravishment
fest firm
festgelegt fixed
festgemacht tightened
festhaftend bonded
festhalten retain
festhaltend abiding
festigkeit firmness
festland continent
festlegend locating
festlich convivial
festlichkeit festivity
festlichkeiten festivities
festmachend tightening
festplatz fairground
feststehend stationary
feststellend noticing
fett bold
fettleibigkeit obesities
fettschrift boldface
fetzen frazzle
feucht damp
feuchtigkeit humidity
feuchtigkeiten moistures
feuchtkalt clammily
feuer fire
feuerfest fireproof
feuersicher flameproof
feuerstein flint
feuersteine flints
feurig fierily
fichte fir
fieber fever
fiebrig feverish
fiel fell
figuren figures
figuriert figured
film film
filter filters
filtern drain
filternd filtrating
filtert filtrates
finanz finance
finanz- finicial
finanziell financially
finanziert financed
finanzstark heeled
finden find
findend encountering
findet finds
findig resourceful
fing caught
finger finger
fingerarbeit fingertips
fingerhuete thimbles
fingerhut foxglove
fink finch
finster gauntly
finsternis darkness
firmen- corporate
fisch fish
fischbein whalebone
fische fishes
fischend fishing
fischer fisherman
fischerei fishery
fischmilch milt
fixieren locate
fixierend fixing
fixiert fixes
flach flat
flachheit flatness
flachs flax
flackern flare
flackernd flaring
flackert flares
flackerte flickered
flaeschchen phial
flagge flag
flamme blaze
flammen flame
flankiert flanks
flankierte flanked
flansch flange
flanschkupplung half-coupling
flasche bottle
flaschen bottles
flattern flutter
flatternd fluttering
flattert flutters
flaum fluff
flechte lichen
flechten wattle
fleck speck
flecken specks
fleckig patchy
fledermaeuse bats
flegel churl
flegelhaft boorish
flehend praying
fleisch meat
fleischbruehe broth
fleischfressend carnivorous
fleischig beefily
fleischlich carnal
fleischwolf mincer
fleiss diligence
fleissig diligent
flexibilitaet flexibility
flicken botch
flickt botches
flieder lilac
fliege fly
fliegen fly
fliegend winging
fliegt flies
fliehend fleeing
fliehgewicht flyweight
fliehkraft- centrifugal
fliessen flow
fliessend floating
fliesst flows
flink nimble
flirt flirtation
flirten flirt
flirtend flirting
flirtet flirts
flirts flirtations
flittchen hussies
flitterwochen honeymoon
flocke flake
flocken flakes
flockige flaky
floehe fleas
floesse rafts
floete flute
floeten flutes
flog flew
floh flea
floss float
flosse fin
flossen fins
flotten navies
fluch curse
flucht escape
fluchten align
flueche curses
fluechtend resorting
fluechtet resorts
fluechtig flighty
fluechtling refugee
fluechtlinge refugees
fluege flights
fluegel wings
fluesse rivers
fluessig fluid
fluessigkeit liquor
fluessigkeiten liquids
fluestern whisper
fluesternd whispering
fluestert whispers
flug flight
flughafen airport
flugzeug aeroplane
flugzeuge aeroplanes
flugzeughalle hangar
flugzeughallen hangars
flunder flounder
fluss flow
flusspferd hippopotamus
flut flow
flut- tidal
flutlicht floodlight
foerderer conveyor
foerdern lift
foerdernd promoting
foerdert promotes
foerderung delivery
foerderungen furtherances
foermlich formerly
foermlichkeit formality
foermlichkeiten formalities
foerster woodman
fohlen foal
folge suite
folgen ensue
folgend ensuing
folgerichtig consistent
folgern infer
folgernd inferring
folgert infers
folgerung implication
folgerungen inferences
folgt ensues
folternd torturing
foltert tortures
fordern postulate
fordernd postulating
fordert postulates
forderung demand
forelle trout
formatierend formating
formatiert formated
formatierung formatting
formel formula
formell formal
formeln formulas
formend sculpturing
formfeeds formfeeds
formlos informal
formlosigkeit informality
formt forms
formulieren formulate
formulierend formulating
formuliert formulated
forsch brisk
forschen research
forschend questing
forscher researcher
forscht quests
forschung research
fortbewegung locomotion
fortgefahren proceeded
fortgeschritten preceded
fortgesetzt continually
fortlaufend consecutively
fortlaufende consecutive
fortschreiten advance
fortschreitend advancing
fortschritt advance
fortschritte proceedings
fortschrittlich progressive
fortsetzen continue
fortsetzend proceeding
fortsetzung continuation
fortsetzungen continuations
fortwaehrend continual
fotografie photograph
fracht cargo
frachtvertraege charters
fraeulein miss
frage query
fragebogen questionaire
fragen ask
fragend asking
fragesteller questioner
fraglich questionable
fraglos unquestionable
fragt asks
fragwuerdig questionably
frankreich france
franzoesisch french
franzose frenchman
fratze grimace
fratzen grimaces
frau wife
frauen wives
fraulich wifelily
frech cheeky
frecher cheekier
frechheit effrontery
frechheiten effronteries
frechste cheekiest
frei free
freigeben deallocate
freigebend releasing
freigebig bounteously
freigebigkeit munificence
freigebigkeiten munificences
freigesprochen acquitted
freigiebigkeit bounty
freihand- freehand
freiheit freedom
freiheiten freedoms
freimachen disengage
freimuetig outspoken
freisprechen acquit
freisprechend acquitting
freispruch acquittal
freitag friday
freitage fridays
freiwillig voluntarily
freiwillige volunteers
freiwilliger volunteer
freizuegigkeit liberality
fremd foreign
fremdartige unfamiliar
fremde strange
fremder alien
frequenz frequency
frequenzen frequencies
fressen guzzle
fressend guzzling
freude fun
freuden enjoyments
freudenfest whoopee
freudenfeste whoopees
freudenfeuer bonfire
freudig glad
freudlos cheerless
freund boyfriend
freunde friends
freundin girlfriend
freundlich befriending
freundlichkeit cheerfulness
freundschaft amity
freundschaften amities
freundschaftlich amicable
friede peace
friedhoefe cemeteries
friedhof cementery
friedlich peaceable
frisch dewy
frische freshness
frischer dewier
frischste dewiest
friseur barber
friseure coiffeurs
frisst guzzles
frist reprieve
fristen respites
froehlich happily
froehlichkeit gaiety
froehlichkeiten mirths
froesche frogs
froestelnd shivery
froh glad
frohlocken exult
frohlockend exulting
frohlockt exults
frohlockte exulted
fromm pious
frosch frog
frost frost
frostbeule chilblain
frostbeulen chilblains
frostig chilly
frtageboegen questionaires
frucht fruit
fruchtbar fecund
fruchtbarkeit fertility
fruechte fruits
frueh early
frueher anterior
fruehere former
fruehling spring
fruehreif premature
fruehstueck breakfast
frustration frustration
frustriert dissatisfied
fuchs fox
fuchs- vulpine
fuchsartig foxy
fuchsie fuchsia
fuchsien fuchsias
fuechse foxes
fuehlbar palpable
fuehlen feel
fuehlend sensing
fuehler tentacle
fuehlt feels
fuehlte felt
fuehren guide
fuehrend guiding
fuehrer captains
fuehrerschein driving-license
fuehrt leads
fuehrungen guidances
fuelle fullness
fuellen brimmed
fuellend filling
fueller fillers
fuellt fills
fuellungen stuffings
fuenf five
fuenffach quintuple
fuenfte fifth
fuenfzehn fifteen
fuenfzehnte fifteenth
fuenfzig fifty
fuenfzigste fiftieth
fuer for
fuerbitte intercession
fuerbitten intercessions
fuerchten fear
fuerchtend fearing
fuerchterlich dreadful
fuerchtet fears
fuerwort pronoun
fuesse feet
fuettern feat
fuetterte feeded
fuhr drove
fuhrleute carters
fuhrmann carter
fundament footing
fundamente basements
fungfrau virgin
funkeln scintillate
funkelnd scintillating
funkelt scintillates
funkelte scintillated
funktion function
funktionell functionally
funktionen functions
funktionierend functioning
funktionsfaehig operative
funktionsgemaess functional
funktionsweise functionality
furche furrow
furchen furrows
furcht dread
furchtbar dreadful
furchtlos dauntless
furchtsam fearful
furnier veneer
furniere veneers
furnierend veneering
furnierte veneered
fuss foot
fussball football
fussballspieler kicker
fussboden floor
fussboeden floors
fusseln fuzz
fusselnd fuzzing
fusselt fuzzes
fussgaenger pedestrian
fussnote footnote
fussweg footpath
fusszeile footer
fusszeilen footers
futter fodder
gab gave
gabe gift
gabel fork
gabelfruehstueck lunch
gabeln forks
gaben donations
gaeergert galled
gaehnen gape
gaehnend gaping
gaehnt gapes
gaense geese
gaensebluemchen daisies
gaenserich gander
gaenzlich wholly
gaertner gardener
gaerung fermentation
gaeste guests
gaestezimmer guestroom
gala- fulldress
galerie gallery
galgen gallows
galle bile
gallone gallon
gameport gameport
gang gait
gangster bandit
gans goose
ganz quite
ganze whole
ganzzahlen integers
garage garage
garagen garages
garantie warranty
garantieen guaranties
garantien guarantees
garantieren guarantee
garantierend guaranting
garantiert guaranted
garderobe warderobe
garderoben warderobes
garnieren garnish
garnierend garnishing
garniert garnishes
garnierte garnished
garstig nasty
garten garden
gartenarbeit gardening
gartenbau horticulture
gartenweg garden-path
gasfoermige gaseous
gassenjunge ragamuffin
gassenjungen ragamuffins
gast guest
gastfreundschaft hospitality
gasthaeuser taverns
gasthaus tavern
gasthoefe inns
gasthof inn
gasvergiftet gassed
gatte husband
gatten spouses
gattin wife
gaumen palate
gauner knaves
gaunerei knavery
gaunereien knaveries
gaze gauze
geachtet esteemed
geaechtete outlaws
geaechteter outlaw
geaendert altered
geaergert fretted
geaeussert uttered
geantwortet answered
gearbeitet operated
geartet mannered
gebacken baked
gebadet bathed
gebaeck pastry
gebaendigt subdued
gebaermutter uterus
gebaeude building
geballt cumulative
gebastelt tinkered
gebaut built
geben give
gebend giving
gebet prayer
gebieterisch authoritative
gebildet educated
gebilligt approved
gebinde wreath
gebissen bitten
geblaese blower
geblasen blown
gebleicht bleached
geblendet dazzled
geblieben abode
geblinkt blinked
geblutet bled
gebogen bent
gebootet booted
geboren born
geborgen salvaged
gebot commandment
gebote commandments
geboten bade
gebracht brought
gebraeu concoction
gebraeuchlich useable
gebraeunt tanned
gebrannt blazed
gebrauchen disusenichtmehr
gebraucht uses
gebraust blustered
gebraut brewed
gebrochen refracted
gebrochene broken
gebruellt bellowed
gebruetet hatched
gebuehr tax
gebuendelt bundled
gebuergt bailed
gebuerstet brushed
gebuesch shrubbery
gebuesche shrubberies
gebuesst atoned
gebummelt strolled
gebumst thumped
gebunden bound
geburt birth
geburten nativities
geburts- natal
geburtshilfe midwifery
geburtshilfen midwiferies
geburtstag birthday
geburtstage birthdays
geburtswehen throes
gecached cached
gedacht thought
gedaechtnis memory
gedaechtnisse memories
gedaempft muted
gedampft steamed
gedanke thought
gedankenlos thoughtless
gedankenstrich dash
gedankenvoll pensive
gedankt thanked
gedauert lasted
gedehnt stretched
gedeihen prosper
gedeihend thriving
gedeiht thrives
gedemuetigt humbled
gedicht ode
gedichte odes
gediehen thrived
gedient conduced
gedoest snoozed
gedonnert thundered
gedraenge throng
gedraengt terse
gedreht revolved
gedroht impended
gedruckt printed
gedrueckt depressed
geduerstet thirsted
geduld patience
geduldig patient
geduscht douched
geehrt honored
geehrte revered
geeicht gauged
geeignet apt
geeilt hasted
geeitert suppurated
geerbt inherited
geernted harvested
gefaehrden endanger
gefaehrdend endangering
gefaehrdet endangered
gefaehrdete imperiled
gefaehrlich dangerous
gefaehrte companion
gefaellig complaisant
gefaelligkeit complaisance
gefaelligkeiten complaisances
gefaellt pleased
gefaelscht falsified
gefaengnis jail
gefaengnisse jails
gefaerbt coloured
gefaess vessel
gefaesse vessels
gefahr danger
gefahren navigated
gefallen dropped
gefallend pleasing
gefaltet folded
gefaltete fold
gefalzt grooved
gefangen trapped
gefangene captured
gefangener prisoner
gefangenschaft captivity
gefangenschaften captivities
gefaulenzt lounged
gefeiert celebrated
gefeilscht haggled
gefesselt enchained
gefieder plumage
gefiedert feathered
gefiltert filtrated
gefischt fished
geflackert flared
geflattert fluttered
gefleckt mottled
geflirtet flirted
geflogen flown
geflohen fleed
geflossen flowed
gefluechtet resorted
gefluegel fowl
gefluester whisper
gefluestert whispered
gefoerdert sponsored
gefolgert inferred
gefolgt ensued
gefoltert tortured
gefordert postulated
geformt formed
geforscht quested
gefraessig gluttonous
gefraessigkeiten voracities
gefragt asked
gefressen guzzled
gefroren freezed
gefuehl emotion
gefuehle emotions
gefuehllos emotionless
gefuehlsmaessig emotional
gefuehlvoll lyrical
gefuehrt guided
gefuellt filled
gefuellte stuffed
gefuerchtet feared
gefuettert fed
gefunden finding
gefunkelt sparkled
gefusselt fuzzed
gegabelt forked
gegaehnt gaped
gegangen gone
gegeaehnt yawned
gegeben given
gegebene donated
gegen against
gegend region
gegenden districts
gegenleistung consideration
gegenseite opposition
gegenseitig mutual
gegenseitigkeit reciprocity
gegenstand object
gegenstueck analogue
gegenstuecke counterparts
gegenteil opposite
gegenueber opposite
gegenuebergestellt confronted
gegenueberliegend oppositely
gegenueberstellen confront
gegenueberstellend confronting
gegenwaertig presently
gegenwart presence
geglaettet sleeked
geglaubt believed
geglitten glided
geglitzert glinted
gegner adversaries
gegossen poured
gegraben digged
gegraupelt sleeted
gegrenzt abutted
gegriffen gripped
gegrillt broiled
gegrinst smirked
gegruebelt mused
gegruendet based
gegruesst greeted
gegrunzt grunted
geguertet girt
gegurgelt gurgled
gehackt hacked
gehaelter stipends
gehaengt gibbeted
gehaertet hardened
gehaeuft heaped
gehaeutet skinned
gehalt salary
gehalten held
gehaltlos inane
gehandelt agitated
gehandhabt managed
geharkt raked
gehasst hated
gehastet bustled
geheftet tacked
geheiligt hallowed
geheilt healed
geheim occult
geheimmittel nostrum
geheimnis mystery
geheimnisse mysteries
geheimnisvoll mysterious
geheiratet married
gehemmt trigged
gehen go
gehend going
geherrscht dominated
gehetzt badgered
geheuchelt feigned
gehilfe helpmate
gehilfen helpmates
gehindert embarrassed
gehinkt limped
gehirn brains
gehoben hewed
gehoeft farmstead
gehoefte farmsteads
gehoelz grove
gehoelze groves
gehoeren appertain
gehoerend appertaining
gehoert appertains
gehoerte appertained
geholfen aided
geholt fetched
gehorchend obeying
gehorcht harked
gehorchte obeied
gehorsam obedient
geht goes
gehuepft frisked
gehungert famished
gehweg pavement
gehwege pavements
geier vulture
geige fiddle
geigen fiddles
geiger fiddler
geimpft vaccinated
geisel hostage
geiseln hostages
geist ghost
geister spirits
geisterhaft ghostly
geistesabwesend absent-minded
geistesblitz brainwave
geistesschwach imbecile
geistig mental
geistlicher clergyman
geistlos spiritless
geistvoll spirited
geiz avarice
geizhaelse niggards
geizhals miser
geizig avaricious
geizkragen misers
gejagt hounded
gejault yipped
gejuckt itched
gekachelt tiled
gekaempft struggled
gekauert cowered
gekaut chawed
gekeift jangled
gekeimt germed
gekentert capsized
gekerbt nicked
gekeucht gasped
gekichert chuckled
gekippt tilted
gekittet puttied
gekitzelt tickled
geklaeff yelp
geklaert cleared
geklagt complained
geklammert clasped
geklappert clattered
geklatscht clapped
gekleidet clad
geklemmt jammed
geklettert clambered
geklimpert thrummed
geklingelt jingled
geklopft tapped
geklungen clinkered
geknackt cracked
geknebelt gagged
geknetet kneaded
geknied kneeled
gekniet knelt
gekniffen nipped
geknirscht gnashed
geknotet knotted
geknurrt growled
geknutschte petted
gekocht boiled
gekochte cooked
gekoedert decoyed
gekoepft decapitated
gekoernt granulated
gekrabbelt scrabbled
gekraechzt cawed
gekraeftigt innervated
gekraeht crowed
gekraenkt aggrieved
gekratzt scraped
gekreischt shrieked
gekreist gyrated
gekritzelt scrawled
gekrochen crawled
gekruemelt crumbed
gekruemmt humped
gekuehlt refrigerated
gekuerzt abridged
gekuesst kissed
gekuppelt pimped
gekuschelt snuggled
gelacht laughed
geladen charged
gelaechelt simpered
gelaechter guffaw
gelaehmt palsied
gelaender balustrade
gelaermt fussed
gelaeut peal
gelaeutet knolled
gelage carousal
gelassen unperturbed
gelauert lurked
gelaufen trended
gelb yellow
gelblich yellowish
gelbsucht jaundice
geld money
geld- monetary
geldgeber investor
geldschrank safe
geldstueck coin
gelee jelly
geleert depleted
gelees jellies
gelegenheit chance
gelegenheiten chances
gelegentlich casual
gelegt lied
gelehnt leaned
gelehrig docile
gelehrigkeit docility
gelehrt erudite
gelehrte bookish
gelehrter savant
geleimt glued
geleit convoy
geleitet conducted
geleitzuege convoys
gelenk hinge
gelernt learnt
gelesen readed
geleugnet disclaimed
geliebt beloved
geliebte lady-love
geliehen borrowed
gelierend jellying
geliert jellied
gelindert allayed
gelingt succeed
gelispelt lisped
gelitten suffered
gelockert limbered
gelockt enticed
geloeffelt spooned
geloescht blanked
geloest detached
geloetet soldered
gelohnt remunerated
gelyncht lynched
gemacht made
gemaechlich leisurely
gemaeht mowed
gemaelde paintings
gemaess pursuant
gemaessigt moderated
gemaestet crammed
gemahlen milled
gemahnt dunned
gemalt painted
gemartert martyred
gemausert molted
gemaust pilfered
gemein rascally
gemeinden communities
gemeinheit baseness
gemeinheiten basenesses
gemeinsam common
gemeinschaft community
gemeinschaften corporations
gemeldet notified
gemessen measured
gemieden eschewed
gemietet leased
gemildert mitigated
gemindert impaired
gemisch medley
gemische miscellanies
gemischt blent
gemischte miscellanous
gemolken milked
gemuese vegetable
gemuetlich comfortable
gemurmelt mumbled
gemustert patterned
genaehert approached
genaehrte nourished
genaeht needled
genagt gnawed
genannt called
genau accurate
genauigkeit accuracy
geneckt bantered
genehmigen approve
genehmigung approval
geneigt inclined
geneppt vamped
generationen generations
generator generator
genesen convalesce
genesung convalescence
genial ingenious
genialitaet ingenuity
genie genius
genies wizzes
geniesst sneezed
genippt sipped
genistet nestled
genoergelt nagged
genommen kept
genuegen suffice
genuegend sufficient
genuegt suffices
genuegte sufficed
genuetzt profitted
genug enough
genugtuung satisfaction
genuss gender
geoeffnet opened
geografisch geographic
geometrie geometry
geopfert sacrificed
geordert ordered
geordnet classified
gepackt grappled
gepaeck baggage
gepaecktraeger porter
gepaeckwagen baggagecar
gepafft whiffed
gepanzert ironclad
geparkt parked
gepatcht patched
gepeitscht flogged
gependelt shuttled
gepfiffen whistled
gepflanzt planted
gepflastert paved
gepflegt fostered
gepflegte cherished
gepfuscht fudged
geplagt bothered
geplanscht swashed
geplant projected
geplappert jabbered
geplatscht plashed
geplatzt bursted
geplaudert nattered
gepluendert harried
gepraegt minted
geprahlt boasted
gepresst huddled
geprobt rehearsed
geprueft examined
gepruegelt thrashed
gepuffert buffered
geputzt furbished
gequaelt smitten
gequaelte agonized
gequakt quacked
gequetscht squished
gequiekt squeaked
gequollen welled
gerade even
geradewegs straight
geradlinig linearly
geraecht avenged
geraekelt lolled
geraet device
geraete devices
geraeucherte cured
geraeumig capacious
geraeumt evacuated
geraeusch noise
geraeusche noises
geraeuschlos noiseless
geraeuschvoll noisy
geraschelt rustled
geraspelt rasped
gerasselt rattled
gerast raved
geraten advised
geraubt raped
geraucht reeked
gerauft scuffled
gerber tanner
gerberei tannery
gerbereien tanneries
gerechnet computed
gerechtigkeit justice
geregelt regulated
geregnet rained
gereift matured
gereiht ranked
gereimt rhymed
gereinigt cleaned
gereinitg scoured
gereist toured
gereizt excited
gerettet rescued
gerichtet directed
gerichtlich judicial
gerieben chafed
geringer minor
geringfuegig pettily
geringfuegigst minimally
geringschaetzig contemptuous
geringste least
gerippe scrag
gerissen shiftily
gerochen smelt
gerodelt tobogganed
geroell bolder
geroestet parched
geroetet reddened
gerollt rolled
gerostet oxidized
gerste barley
geruch odor
geruchlos scentless
geruchs- olfactory
gerudert sculled
gerueche odors
geruecht rumor
geruechte rumors
geruehmt vaunted
geruehrt stired
geruest scaffold
gerueste scaffolds
geruhen condescend
geruhend condescending
geruht condescends
geruhte condescended
gerumpelt rumbled
gerundet rounded
gerunzelt wrinkled
gesackt sagged
gesaenge chants
gesaess buttocks
gesaettigt sated
gesaeuert soured
gesalzen salted
gesammelt collected
gesamt total
gesamt- over-all
gesamtheit entirety
gesamtheiten totalities
gesandt posted
gesang chant
gesaugt sucked
geschadet harmed
geschaedigt mared
geschaeft business
geschaefte bargains
geschaeftsinhaber shopkeeper
geschaeftsleute tradesmen
geschaeftsmann businessman
geschaelt hulled
geschaerft sharpened
geschaetzt appraised
geschaeumt foamed
geschaffen created
geschah happened
geschaltet switched
geschaudert shivered
geschaufelt scooped
geschaukelt dandled
geschehen happen
geschehend happening
geschenk present
geschenkkoerbe hampers
geschenkkorb hamper
gescherzt froliced
geschichte history
geschichten tales
geschick skill
geschickt neatly
geschieht happens
geschildert depicted
geschimpft inveighed
geschlachtet slaughtered
geschlaengelt wormed
geschlafen nodded
geschlagen battered
geschlecht sex
geschlechter sexes
geschlechtlich sexual
geschlechts- venereal
geschlechtslos neuterly
geschlendert roamed
geschleppt hauled
geschleudert flung
geschlichen skulked
geschlitzt slitted
geschlossen closed
geschlossenheit closeness
geschluchzt sobbed
geschluckt swallowed
geschluepft slipt
geschlummert slumbered
geschlurft scuffed
geschmack flavor
geschmacklos flavorless
geschmackvoll tasteful
geschmeckt smacked
geschmeichelt coaxed
geschmeidig lithe
geschmerzt ached
geschmiert lubricated
geschmollt pouted
geschmolzen liquefied
geschmort stewed
geschmueckt decorated
geschmuggelt smuggled
geschnappt nabbed
geschnarcht snored
geschnattert cackled
geschneidert tailored
geschneit snowed
geschnibbelt whittled
geschnippt snipped
geschnueffelt sniffed
geschnurrt purred
geschoben shoved
gescholten chid
geschoss missile
geschosse missiles
geschossen shooted
geschraubt screwed
geschrei clamor
geschrieben typed
geschrieen cried
geschrien vociferated
geschritten treaded
geschrumpft shrivelled
geschruppt scrubbed
geschuettelt shaken
geschuetzt protected
geschuetzte protective
geschuftet slaved
geschuldet owed
geschultert shouldered
geschwaecht debilitated
geschwaermt swarmed
geschwaerzte blackend
geschwaetz flubdub
geschwaetzig loquacious
geschwaetzt prated
geschwankt fluctuated
geschwatzt blabbed
geschweisst welded
geschwelt smouldered
geschwindelt swindled
geschwindigkeit celerity
geschwindigkeiten celerities
geschwirrt twanged
geschwitzt perspired
geschwoert sweared
geschwollen turgid
geschworen vowed
geschworene jurors
geschworener juror
geschwuer ulcer
geschwuere ulcers
geschwunden dwindled
gescrollt scrolled
gesegelt sailed
gesehen looked
gesehnt longed
gesellig sociable
gesellschaft society
gesellschaften companionships
gesendet sent
gesengt singed
gesetz law
gesetze laws
gesetzlich lawful
gesetzlos lawless
gesetzt seated
geseufzt sighed
gesichert backed
gesicht face
gesichtswinkel viewpoint
gesickert oozed
gesiebt sieved
gesiedet seethed
gesiegelt sealed
gesindel vermins
gesoegt sawn
gesorgt worryed
gespalten cleaved
gespaltet cloven
gespannt tense
gespasst jested
gespeichert saved
gespeist dined
gespenst spectre
gespenstisch ghostlike
gesperrt barricided
gespickt spiked
gespiegelt mirrored
gespielt played
gesplittert splinted
gesponnen spinned
gespottet flouted
gespraech conversation
gespraechig chatty
gespreizt straddled
gespritzt spattered
gesprochen spoken
gesprudelt sputtered
gesprueht drizzled
gesprungen bounced
gespuelt swilled
gespuert sensed
gespult spooled
gespurtet sprinted
gestaendnis confession
gestaenge linkage
gestaerkt strengthened
gestalt figure
gestalten shapes
gestaltung formation
gestammelte babbled
gestampft stomped
gestanden confessed
gestank stench
gestapelt stacked
gestarrt gazed
gestartet started
gestatten grant
gestattend granting
gestattet grants
geste gesture
gestehend confessing
gesteht confesses
gestell rack
gestelle racks
gestelzt stilted
gestempelte stamped
gesten gestures
gestern yesterday
gesteuert steered
gestiegen rised
gestimmt voted
gestochen jabbed
gestoehnt moaned
gestoert troubled
gestoerte perturbed
gestohlen thieved
gestolen stolen
gestolpert stumbled
gestopft plugged
gestossen bumped
gestottert stammered
gestraeubt bristled
gestrahlt beamed
gestrandet aground
gestreckt racked
gestreifte striped
gestrickt knitted
gestritten contended
gestruepp brushwood
gestuerzt overturned
gesucht seeked
gesuchte searched
gesuendigt sinned
gesund healthy
gesundet convalesces
gesundheit health
gesundheits- sanitary
gesundheitspflege sanitation
getadelt animadverted
getaeuscht deceived
getaeuschte beguiled
getankt refueled
getastet groped
getaucht dived
getauft baptized
getauscht bartered
getaut dewed
geteert tarred
geteilt apportioned
getestet tested
getickt ticked
getobt rioted
getoese bluster
getoetet killed
getorkelt lurched
getraellert trolled
getraenk beverage
getraenke beverages
getraenkt imbued
getraeumt dreamt
getragen beared
getrampt tramped
getratscht tattled
getrauert mourned
getreide cereal
getrennt apart
getrickst tricked
getriebe gear
getrieben drifted
getrillert quavered
getrippelt tripped
getrocknet dried
getroedelt dallied
getroepfelt dripped
getroestet solaced
getrommelt drummed
getropft seeped
getrottet jogged
getruebt tarnished
getrunken drunk
geuebt exercised
geurteilt judged
gewachsen grown
gewachst waxed
gewacht waked
gewackelt tottered
gewaechshaus greenhouse
gewaehlt dialed
gewaehlte chosen
gewaehren deign
gewaehrend deigning
gewaehrleistung warrantee
gewaehrt deigns
gewaehrte deigned
gewaender garbs
gewaesser waters
gewagt dared
gewahrsam ward
gewalt force
gewalten mights
gewaltig vast
gewaltsam forcible
gewalttaetigkeiten outrages
gewalttaetikeit outrage
gewand garb
gewandert flitted
gewandt adroit
gewandtheit dexterity
gewankt staggered
gewarnt warned
gewartet waited
gewaschen washed
gewatschelt shambled
gewebe texture
gewebt weaved
gewechselt bandied
geweckt roused
gewehr gun
gewehre guns
geweht wafted
geweint weeped
geweisst whitewashed
gewelkt wilted
gewellt waved
gewellte curly
gewerkschaftler unionist
gewesen been
gewetteifert vied
gewettert fulminated
gewettet betted
gewetzt whetted
gewicht heft
gewichte hefts
gewidmet devoted
gewimmelt teemed
gewimmert whimpered
gewinde thread
gewinkelt angled
gewinn asset
gewinnbringend gainfully
gewinne winnings
gewinnen extract
gewinnend gaining
gewinner winner
gewinnt gains
gewippt seesawed
gewirbelt swirled
gewischt mopped
gewiss certainly
gewissen conscience
gewissenhaft conscientious
gewissenhaftigkeit consciousness
gewissenlos unprincipled
gewissensbisse remorse
gewitter tempest
